Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
159,Instytut Archeologii i Etnologii Polskiej Akademii Nauk,archeologia,B+
160,Instytut Archeologii i Etnologii Polskiej Akademii Nauk,historia,A
161,Instytut Archeologii i Etnologii Polskiej Akademii Nauk,nauki o kulturze i religii,A
162,Instytut Automatyki Systemów Energetycznych Sp. z o.o.,"inżynieria środowiska, górnictwo ienergetyka",C
163,Instytut Badań Literackich Polskiej Akademii Nauk,literaturoznawstwo,A
164,Instytut Badań Systemowych Polskiej Akademii Nauk,"automatyka, elektronika ielektrotechnika",B+
165,Instytut Badań Systemowych Polskiej Akademii Nauk,"informatyka techniczna itelekomunikacja",A
166,Instytut Badawczy Dróg i Mostów,inżynieria lądowa i transport,B
167,Instytut Badawczy Leśnictwa,nauki leśne,B+
168,Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,nauki biologiczne,B+
169,Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,nauki chemiczne,A
170,"Instytut Biocybernetyki i Inżynierii Biomedycznej im. MaciejaNałęcza Polskiej Akademii Nauk",inżynieria biomedyczna,B+
171,"Instytut Biologii Doświadczalnej im. Marcelego NenckiegoPolskiej Akademii Nauk",nauki biologiczne,A+
172,Instytut Biologii Medycznej Polskiej Akademii Nauk,nauki medyczne,A
173,Instytut Biologii Ssaków Polskiej Akademii Nauk,nauki biologiczne,B+
174,"Instytut Biotechnologii Przemysłu Rolno-Spożywczego im. prof.Wacława Dąbrowskiego – Państwowy Instytut Badawczy",rolnictwo i ogrodnictwo,A
175,"Instytut Biotechnologii Przemysłu Rolno-Spożywczego im. prof.Wacława Dąbrowskiego – Państwowy Instytut Badawczy",technologia żywności i żywienia,A
176,"Instytut Botaniki im. Władysława Szafera Polskiej AkademiiNauk",nauki biologiczne,B+
177,Instytut Budownictwa Wodnego Polskiej Akademii Nauk,inżynieria lądowa i transport,B
178,Instytut Chemicznej Przeróbki Węgla,"inżynieria środowiska, górnictwo ienergetyka",B+
179,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk,"informatyka techniczna itelekomunikacja",A
180,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk,nauki biologiczne,A+
181,Instytut Chemii Bioorganicznej Polskiej Akademii Nauk,nauki chemiczne,A
182,Instytut Chemii Fizycznej Polskiej Akademii Nauk,nauki chemiczne,A+
Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
184,Instytut Chemii Organicznej Polskiej Akademii Nauk,nauki chemiczne,A+
185,Instytut Dendrologii Polskiej Akademii Nauk,nauki biologiczne,A
186,Instytut Dendrologii Polskiej Akademii Nauk,nauki leśne,A+
187,Instytut Ekologii Terenów Uprzemysłowionych,"inżynieria środowiska, górnictwo ienergetyka",C
188,Instytut Ekologii Terenów Uprzemysłowionych,nauki biologiczne,C
189,"Instytut Ekonomiki Rolnictwa i Gospodarki Żywnościowej -Państwowy Instytut Badawczy",ekonomia i finanse,B
190,Instytut Energetyki - Instytut Badawczy,"inżynieria środowiska, górnictwo ienergetyka",B+
191,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,nauki farmaceutyczne,A
192,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,nauki medyczne,A
